Verbal,Quantitative,Composite,GMAT Percentile
132,169,301,41.0
133,169,302,41.0
134,169,303,44.0
135,169,304,47.0
136,169,305,47.0
137,169,306,51.0
138,169,307,51.0
139,169,308,54.0
140,169,309,58.0
141,169,310,58.0
142,169,311,62.0
143,169,312,65.0
144,169,313,65.0
145,169,314,67.0
146,169,315,73.0
147,169,316,73.0
148,169,317,77.0
149,169,318,77.0
150,169,319,80.0
151,169,320,82.0
152,169,321,82.0
153,169,322,85.0
154,169,323,88.0
155,169,324,88.0
156,169,325,91.0
157,169,326,94.0
158,169,327,94.0
159,169,328,96.0
160,169,329,96.0
161,169,330,97.0
162,169,331,98.0
163,169,332,98.0
164,169,333,99.0
165,169,334,99.0
166,169,335,99.0
167,169,336,99.0
168,169,337,99.0
169,169,338,99.0
170,169,339,99.0
130,170,300,38.0
131,170,301,41.0
132,170,302,44.0
133,170,303,44.0
134,170,304,47.0
135,170,305,51.0
136,170,306,51.0
137,170,307,54.0
138,170,308,58.0
139,170,309,58.0
140,170,310,62.0
141,170,311,62.0
142,170,312,65.0
143,170,313,67.0
144,170,314,67.0
145,170,315,73.0
146,170,316,77.0
147,170,317,77.0
148,170,318,80.0
149,170,319,82.0
150,170,320,82.0
151,170,321,85.0
152,170,322,85.0
153,170,323,88.0
154,170,324,91.0
155,170,325,91.0
156,170,326,94.0
157,170,327,96.0
158,170,328,96.0
159,170,329,97.0
160,170,330,98.0
161,170,331,98.0
162,170,332,99.0
163,170,333,99.0
164,170,334,99.0
165,170,335,99.0
166,170,336,99.0
167,170,337,99.0
168,170,338,99.0
169,170,339,99.0
170,170,340,99.0
